timestamp,cpu,memory,disk
2026-04-24 01:37:30,1.6,85.1,0.7
2026-04-24 01:37:32,1.9,85.1,0.7
2026-04-24 01:37:34,0.0,85.1,0.7
2026-04-24 01:37:36,24.0,85.5,0.7
2026-04-24 01:37:38,16.1,85.6,0.7
2026-04-24 01:37:40,5.4,86.5,0.7
2026-04-24 01:37:42,27.3,87.4,0.7
2026-04-24 01:37:44,44.5,88.5,0.7
2026-04-24 01:37:46,54.4,89.4,0.7
2026-04-24 01:37:48,41.9,89.1,0.7
2026-04-24 01:37:50,44.2,87.1,0.7
2026-04-24 01:37:52,15.0,86.8,0.7
2026-04-24 01:37:54,17.3,86.8,0.7
2026-04-24 01:37:56,5.2,86.7,0.7
2026-04-24 01:37:58,47.5,86.5,0.7
2026-04-24 01:38:00,18.6,86.6,0.7
2026-04-24 01:38:02,25.0,86.4,0.7
2026-04-24 01:38:04,18.3,86.3,0.7
2026-04-24 01:38:06,17.9,86.2,0.7
2026-04-24 01:38:08,18.8,86.2,0.7
2026-04-24 01:38:10,18.5,87.1,0.7
2026-04-24 01:38:12,24.6,86.7,0.7
2026-04-24 01:38:14,69.1,86.1,0.7
2026-04-24 01:38:16,59.4,86.9,0.7
2026-04-24 01:38:18,30.5,85.8,0.7
2026-04-24 01:38:20,31.9,85.5,0.7
2026-04-24 01:38:22,46.0,85.5,0.7
2026-04-24 01:38:24,81.9,87.7,0.7
2026-04-24 01:38:26,66.3,86.4,0.7
2026-04-24 01:38:28,23.7,86.4,0.7
2026-04-24 01:38:30,77.1,86.6,0.7
2026-04-24 01:38:32,61.5,87.3,0.7
2026-04-24 01:38:34,56.6,87.3,0.7
2026-04-24 01:38:36,80.0,86.9,0.7
2026-04-24 01:38:38,23.2,86.3,0.7
2026-04-24 01:38:40,18.8,86.0,0.7
2026-04-24 01:38:42,29.9,83.6,0.7
2026-04-24 01:38:44,51.6,83.6,0.7
2026-04-24 01:38:46,37.7,83.1,0.7
2026-04-24 01:38:48,17.8,83.0,0.7
2026-04-24 01:38:50,31.5,83.1,0.7
2026-04-24 01:38:52,24.8,83.2,0.7
2026-04-24 01:38:54,52.7,83.1,0.7
2026-04-24 01:38:56,27.7,83.3,0.7
2026-04-24 01:38:58,51.1,83.9,0.7
2026-04-24 01:39:00,33.0,83.5,0.7
2026-04-24 01:39:02,47.3,84.4,0.7
2026-04-24 01:39:04,19.9,84.4,0.7
2026-04-24 01:39:06,23.0,84.1,0.7
2026-04-24 01:39:08,16.7,84.2,0.7
2026-04-24 01:39:10,19.6,84.3,0.7
2026-04-24 01:39:12,17.6,84.5,0.7
2026-04-24 01:39:14,20.6,84.5,0.7
2026-04-24 01:39:16,22.6,84.5,0.7
2026-04-24 01:39:18,37.6,84.1,0.7
2026-04-24 01:39:20,25.3,85.2,0.7
2026-04-24 01:39:22,28.6,85.4,0.7
2026-04-24 01:39:24,26.4,85.6,0.7
2026-04-24 01:39:26,22.2,85.8,0.7
2026-04-24 01:39:28,19.3,85.7,0.7
2026-04-24 01:39:30,25.4,86.1,0.7
2026-04-24 01:39:32,24.8,87.5,0.7
2026-04-24 01:39:34,17.0,88.0,0.7
2026-04-24 01:39:37,19.1,87.3,0.7
2026-04-24 01:39:39,24.1,87.9,0.7
2026-04-24 01:39:41,15.7,88.0,0.7
2026-04-24 01:39:43,44.4,87.5,0.7
2026-04-24 01:39:45,29.8,87.7,0.7
2026-04-24 01:39:47,26.5,87.7,0.7
2026-04-24 01:39:49,14.5,87.6,0.7
2026-04-24 01:39:51,35.3,87.5,0.7
2026-04-24 01:39:53,50.5,87.9,0.7
2026-04-24 01:39:55,36.3,87.9,0.7
2026-04-24 01:39:57,30.8,87.6,0.7
2026-04-24 01:39:59,58.0,88.1,0.7
2026-04-24 01:40:01,42.8,88.1,0.7
2026-04-24 01:40:03,34.9,87.6,0.7
2026-04-24 01:40:05,19.8,85.3,0.7
2026-04-24 01:40:07,19.1,85.5,0.7
2026-04-24 01:40:09,16.0,85.3,0.7
2026-04-24 01:40:11,21.6,85.1,0.7
2026-04-24 01:40:13,3.3,84.7,0.7
2026-04-24 01:40:15,2.7,84.7,0.7
2026-04-24 01:40:17,11.8,84.9,0.7
2026-04-24 01:40:19,16.8,85.3,0.7
2026-04-24 01:40:21,34.7,85.2,0.7
2026-04-24 01:40:23,11.4,85.3,0.7
2026-04-24 01:40:25,8.9,85.2,0.7
2026-04-24 01:40:27,4.1,85.1,0.7
2026-04-24 01:40:29,6.0,85.2,0.7
2026-04-24 01:40:31,4.7,85.1,0.7
2026-04-24 01:40:33,2.7,85.1,0.7
2026-04-24 01:40:35,3.7,85.0,0.7
2026-04-24 01:40:37,3.7,85.0,0.7
2026-04-24 01:40:39,10.2,85.0,0.7
2026-04-24 01:40:41,6.0,85.1,0.7
2026-04-24 01:40:43,4.9,85.0,0.7
2026-04-24 01:40:45,18.5,85.6,0.7
2026-04-24 01:40:47,10.0,85.6,0.7
2026-04-24 01:40:49,13.2,85.7,0.7
2026-04-24 01:40:51,27.5,85.9,0.7
2026-04-24 01:40:53,21.1,85.8,0.7
2026-04-24 01:40:55,9.4,85.7,0.7
2026-04-24 01:40:57,14.4,85.6,0.7
2026-04-24 01:40:59,10.7,85.7,0.7
2026-04-24 01:41:01,26.1,85.6,0.7
2026-04-24 01:41:03,17.2,85.8,0.7
2026-04-24 01:41:05,20.8,85.9,0.7
2026-04-24 01:41:07,23.1,86.0,0.7
2026-04-24 01:41:09,27.9,86.3,0.7
2026-04-24 01:41:11,23.0,86.4,0.7
2026-04-24 01:41:13,30.1,86.6,0.7
2026-04-24 01:41:15,23.0,86.7,0.7
2026-04-24 01:41:17,26.2,86.8,0.7
2026-04-24 01:41:19,39.3,86.8,0.7
2026-04-24 01:41:21,10.8,86.6,0.7
2026-04-24 01:41:23,9.9,86.7,0.7
2026-04-24 01:41:25,14.1,86.7,0.7
2026-04-24 01:41:27,21.8,85.7,0.7
2026-04-24 01:41:29,4.2,85.7,0.7
2026-04-24 01:41:31,52.6,86.1,0.7
2026-04-24 01:41:33,24.5,86.1,0.7
2026-04-24 01:41:35,22.8,85.8,0.7
2026-04-24 01:41:37,21.1,85.9,0.7
2026-04-24 01:41:39,35.5,86.5,0.7
2026-04-24 01:41:41,65.5,86.1,0.7
2026-04-24 01:41:43,51.6,86.3,0.7
2026-04-24 01:41:45,32.7,86.0,0.7
2026-04-24 01:41:47,32.6,86.0,0.7
2026-04-24 01:41:49,34.4,85.7,0.7
2026-04-24 01:41:51,33.3,85.6,0.7
2026-04-24 01:41:53,36.3,85.6,0.7
2026-04-24 01:41:55,38.0,85.4,0.7
2026-04-24 01:41:57,43.5,85.4,0.7
2026-04-24 01:41:59,35.8,85.3,0.7
2026-04-24 01:42:01,27.7,85.0,0.7
2026-04-24 01:42:03,19.1,85.0,0.7
2026-04-24 01:42:05,24.6,85.0,0.7
2026-04-24 01:42:07,17.9,84.9,0.7
2026-04-24 01:42:09,16.5,85.0,0.7
2026-04-24 01:42:11,28.4,84.7,0.7
2026-04-24 01:42:13,1.8,84.2,0.7
2026-04-24 01:42:15,6.4,84.4,0.7
2026-04-24 01:42:17,7.1,84.3,0.7
2026-04-24 01:42:19,3.5,84.1,0.7
2026-04-24 01:42:21,1.0,84.0,0.7
2026-04-24 01:42:23,3.3,84.1,0.7
2026-04-24 01:42:25,1.4,84.0,0.7
2026-04-24 01:42:27,1.2,84.0,0.7
2026-04-24 01:42:29,3.0,83.9,0.7
2026-04-24 01:42:31,2.1,83.9,0.7
2026-04-24 01:42:33,1.2,83.9,0.7
2026-04-24 01:42:35,1.8,83.9,0.7
2026-04-24 01:42:37,0.8,83.8,0.7
2026-04-24 01:42:39,1.0,83.8,0.7
2026-04-24 01:42:41,1.2,83.8,0.7
2026-04-24 01:42:43,2.0,83.7,0.7
2026-04-24 01:42:45,0.8,83.8,0.7
2026-04-24 01:42:47,3.8,83.8,0.7
2026-04-24 01:42:49,2.7,83.8,0.7
2026-04-24 01:42:51,1.6,83.8,0.7
2026-04-24 01:42:53,0.6,83.8,0.7
2026-04-24 01:42:55,1.2,83.7,0.7
2026-04-24 01:42:57,1.4,83.7,0.7
2026-04-24 01:42:59,1.2,83.7,0.7
2026-04-24 01:43:01,3.1,83.8,0.7
2026-04-24 01:43:03,1.8,83.7,0.7
2026-04-24 01:43:05,2.5,83.7,0.7
2026-04-24 01:43:07,1.7,83.8,0.7
2026-04-24 01:43:09,1.0,83.8,0.7
2026-04-24 01:43:11,2.7,83.8,0.7
2026-04-24 01:43:13,0.4,83.8,0.7
2026-04-24 01:43:15,3.5,83.9,0.7
2026-04-24 01:43:17,22.3,83.1,0.7
2026-04-24 01:43:19,0.4,83.0,0.7
2026-04-24 01:43:21,4.7,83.1,0.7
2026-04-24 01:43:23,25.0,82.8,0.7
2026-04-24 01:43:25,23.4,83.6,0.7
2026-04-24 01:43:27,48.7,85.6,0.7
2026-04-24 01:43:29,27.4,85.7,0.7
2026-04-24 01:43:32,58.4,86.7,0.7
2026-04-24 01:43:34,50.2,86.7,0.7
2026-04-24 01:43:36,38.0,86.9,0.7
2026-04-24 01:43:38,12.9,86.2,0.7
2026-04-24 01:43:40,38.7,86.2,0.7
2026-04-24 01:43:42,36.3,86.2,0.7
2026-04-24 01:43:44,6.9,86.1,0.7
2026-04-24 01:43:46,14.6,86.2,0.7
2026-04-24 01:43:48,8.2,86.1,0.7
2026-04-24 01:43:50,5.4,86.1,0.7
2026-04-24 01:43:52,18.4,86.1,0.7
2026-04-24 01:43:54,10.5,86.2,0.7
2026-04-24 01:43:56,10.1,86.2,0.7
2026-04-24 01:43:58,41.9,85.0,0.7
2026-04-24 01:44:00,37.7,84.5,0.7
2026-04-24 01:44:02,23.7,84.5,0.7
2026-04-24 01:44:04,31.6,83.9,0.7
2026-04-24 01:44:06,22.3,83.9,0.7
2026-04-24 01:44:08,4.2,83.7,0.7
2026-04-24 01:44:10,1.8,83.6,0.7
2026-04-24 01:44:12,3.3,83.4,0.7
2026-04-24 01:44:14,4.9,83.2,0.7
2026-04-24 01:44:16,40.4,83.7,0.7
2026-04-24 01:44:18,50.3,83.8,0.7
2026-04-24 01:44:20,20.7,84.1,0.7
2026-04-24 01:44:22,34.0,84.0,0.6
2026-04-24 01:44:24,97.7,84.4,0.6
2026-04-24 01:44:27,81.6,84.5,0.6
2026-04-24 01:44:29,82.1,84.2,0.6
2026-04-24 01:44:31,19.9,84.0,0.6
2026-04-24 01:44:33,28.9,84.1,0.6
2026-04-24 01:44:35,38.9,84.1,0.6
2026-04-24 01:44:37,41.7,84.3,0.6
2026-04-24 01:44:39,25.5,84.4,0.6
2026-04-24 01:44:41,45.1,84.9,0.6
2026-04-24 01:44:44,28.2,85.2,0.6
2026-04-24 01:44:46,27.7,85.1,0.6
2026-04-24 01:44:48,6.9,85.2,0.6
2026-04-24 01:44:50,13.7,84.9,0.6
2026-04-24 01:44:52,7.4,84.8,0.6
2026-04-24 01:44:54,16.3,84.3,0.6
2026-04-24 01:44:56,13.3,84.1,0.6
2026-04-24 01:44:58,48.8,84.3,0.6
2026-04-24 01:45:00,14.7,83.7,0.6
2026-04-24 01:45:02,21.3,83.6,0.6
2026-04-24 01:45:04,10.9,83.6,0.6
2026-04-24 01:45:06,20.0,83.6,0.6
2026-04-24 01:45:08,29.3,83.7,0.6
2026-04-24 01:45:10,13.8,83.6,0.6
2026-04-24 01:45:12,6.2,83.5,0.6
2026-04-24 18:28:48.355827,100.0,89.7,0.7
2026-04-24 18:28:53.359774,45.2,89.6,0.7
2026-04-24 18:28:58.364920,56.1,91.1,0.7
2026-04-24 18:29:03.367843,47.4,92.6,0.7
2026-04-24 18:29:08.371336,16.1,91.9,0.7
2026-04-24 18:29:13.378175,58.5,93.8,0.7
2026-04-24 18:29:18.383109,43.6,94.6,0.7
2026-04-24 18:29:23.386570,35.7,93.6,0.7
2026-04-24 18:29:28.409446,32.7,93.5,0.7
2026-04-24 18:29:33.413714,30.0,93.5,0.7
2026-04-24 18:29:38.417022,24.0,93.0,0.7
2026-04-24 18:29:43.419815,5.0,92.1,0.7
2026-04-24 18:29:48.422525,3.1,92.0,0.7
2026-04-24 18:29:53.424698,3.1,91.7,0.7
2026-04-24 18:29:58.426950,5.0,91.6,0.7
2026-04-24 18:30:03.429326,19.6,91.8,0.7
2026-04-24 18:30:08.443313,11.4,92.1,0.7
2026-04-24 18:30:13.445742,5.5,91.8,0.7
2026-04-24 18:30:18.448541,12.1,91.7,0.7
2026-04-24 18:30:23.450859,4.9,91.9,0.7
2026-04-24 18:30:28.453260,4.6,91.8,0.7
2026-04-24 18:30:33.455583,2.5,91.7,0.7
